,question,correct_answer,annotator1_answer,annotator2_answer
0,What type of climate does Pittsburgh have according to the Köppen climate classification?,Pittsburgh falls within either a hot-summer humid continental climate (Dfa) or a humid subtropical climate (Cfa).,"According to the Köppen climate classification, Pittsburgh has either a hot-summer humid continental climate (Dfa) if using the 0°C isotherm or a humid subtropical climate (Cfa) if using the -3°C isotherm.","According to the Köppen climate classification, Pittsburgh falls within either a hot-summer humid continental climate (Dfa) if the 0 °C (32 °F) isotherm is used or a humid subtropical climate (Cfa) if the −3 °C (27 °F) isotherm is used."
1,What are some of the parking options for Picklesburgh?,"Parking options for Picklesburgh include parking near the event or across town to avoid Festival traffic, with real-time parking availability information available for Downtown Pittsburgh.","There are several parking options for Picklesburgh. One can park near Picklesburgh or across town to avoid festival traffic. There is real-time parking availability all around Downtown, and there are several hotels near and around the event footprint. Additionally, guests can book accommodations outside of Downtown and use public transportation to get to and from the event.","The context mentions that there are ""lots of convenient parking options for Picklesburgh,"" including parking near Picklesburgh or across town to avoid Festival traffic. It also highlights real-time parking availability all around Downtown. Additionally, guests can book accommodations outside of Downtown and use public transportation to get to and from the event."
2,Who ordered the construction of Fort Pitt after Fort Duquesne was abandoned?,"William Pitt the Elder, British Secretary of State, ordered the construction of Fort Pitt.",The British built Fort Pitt (1761) to ensure their dominance at the source of the Ohio. Nothing really specified about who really ordered the construction of the fort. ,Forbes ordered the construction of Fort Pitt after Fort Duquesne was abandoned.
3,What are Special Revenue Funds and what are some examples?,"Special Revenue Funds are funds in which a substantial portion of the proceeds or inflows are restricted or committed for a specific purpose. Examples include the Liquid Fuels Fund, the Pittsburgh Partnership Fund, and the Grants Fund.","Special Revenue Funds are funds where a substantial portion of proceeds or inflows are restricted or committed for a specific purpose. Examples include the Liquid Fuels Fund, Pittsburgh Partnership Fund, and Grants Fund. The City only sets formal appropriations for two of these funds: the Stop the Violence Fund and the Parks Tax Fund.","Special Revenue Funds are funds in which a substantial portion of the proceeds or inflows are restricted or committed for a specific purpose. Examples of these include the Liquid Fuels Fund, the Pittsburgh Partnership Fund, and the Grants Fund."
4,What is the time limit for requesting a refund for amounts paid due to a notice of underpayment?,"For amounts paid as a result of a notice of underpayment, a written request for a refund must be filed within one (1) year of the date of payment.",One (1) year of the date of the payment,The time limit for requesting a refund for amounts paid due to a notice of underpayment is within one (1) year of the date of the payment.
5,What iconic children's television set is on display at the History Center?,"The original set from ""Mister Rogers' Neighborhood"" is on display at the History Center in the Special Collections Gallery.","The TV set from ""Mister Rogers' Neighborhood""","The iconic children's television set on display at the History Center is the TV set from ""Mister Rogers’ Neighborhood."""
6,What are the sources of revenue for the Senior Citizens Program Trust Fund?,"Pennsylvania Department of Welfare grant funds, CDBG funds, program fees, and meeting room rentals","Pennsylvania Department of Welfare grant funds, CDBG funds, and program fees","The sources of revenue for the Senior Citizens Program Trust Fund are Pennsylvania Department of Welfare grant funds, CDBG funds, and program fees."
7,"What are the dates for the ""Select-A-Seat"" event at PPG Paints Arena?","Saturday, March 29 from 11:00 AM to 2:00 PM","Saturday, March 29 from 11:00 AM to 2:00 PM","The date for the ""Select-A-Seat"" event at PPG Paints Arena is Saturday, March 29 from 11:00 AM to 2:00 PM."
8,What was the population of Pittsburgh according to the 2020 census?,"The population of Pittsburgh was 302,971 according to the 2020 census.","302,971","According to the 2020 census, the population of Pittsburgh was 302,971."
9,What kinds of planned giving options are available for the History Center?,"Planned giving options for the History Center include charitable trusts and bequests, which can provide tax benefits for donors and their benefactors.",The History Center offers planned giving options including charitable trusts and bequests that support the museum's mission while providing tax benefits for donors and benefactors. ,The planned giving options available for the History Center include charitable trusts and bequests. These options directly support the museum’s mission while providing tax benefits for donors and their benefactors.
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,